secs,km,alt
640,4.45173,454.8
641,4.45626,454.6
642,4.46188,454.6
643,4.47191,454.4
644,4.47692,454.5
645,4.48194,454.6
646,4.48975,454.6
647,4.49717,454.733
648,4.5046,454.867
649,4.51202,455
650,4.51944,455.067
651,4.52686,455.133
652,4.53428,455.2
653,4.5417,455.333
654,4.54912,455.467
655,4.55654,455.6
656,4.56261,455.7
657,4.56868,455.8
658,4.57475,455.9
659,4.58082,456
660,4.58891,456.067
661,4.597,456.133
662,4.60509,456.2
663,4.61164,456.28
664,4.61818,456.36
665,4.62473,456.44
666,4.63127,456.52
667,4.63782,456.6
668,4.64437,456.68
669,4.65091,456.76
670,4.65746,456.84
671,4.664,456.92
672,4.67055,457
673,4.67709,457.04
674,4.68364,457.08
675,4.69018,457.12
676,4.69673,457.16
677,4.70327,457.2
678,4.71145,457.25
679,4.71964,457.3
680,4.72782,457.35
681,4.736,457.4
682,4.74255,457.44
683,4.74909,457.48
684,4.75564,457.52
685,4.76218,457.56
686,4.76873,457.6
687,4.77663,457.9
688,4.78453,458.2
689,4.79085,458.28
690,4.79718,458.36
691,4.8035,458.44
692,4.80983,458.52
693,4.81615,458.6
694,4.82463,458.8
695,4.8331,459
696,4.8407,459.4
697,4.84576,459.8
698,4.8552,460.6
699,4.85871,461
700,4.86434,461.4
701,4.87279,461.7
702,4.88123,462
703,4.88758,462.6
704,4.89321,462.867
705,4.89883,463.133
706,4.90446,463.4
707,4.91167,463.6
708,4.91888,463.8
709,4.92609,464
710,4.9333,464.2
711,4.94081,464.533
712,4.94831,464.867
713,4.95582,465.2
714,4.96333,465.4
715,4.97083,465.6
716,4.97834,465.8
717,4.98573,466.2
718,4.99313,466.6
719,5.00052,467
720,5.00606,467.15
721,5.01161,467.3
722,5.01716,467.45
723,5.0227,467.6
724,5.03,467.95
725,5.03729,468.3
726,5.04458,468.65
727,5.05188,469
728,5.05918,469.2
729,5.06648,469.4
730,5.07377,469.6
731,5.08107,469.8
732,5.08742,470.6
733,5.09377,471.4
734,5.10012,471.867
735,5.10648,472.333
736,5.11283,472.8
737,5.1202,473.333
738,5.12756,473.867
739,5.13493,474.4
740,5.1465,477.4
741,5.15152,478.1
742,5.15654,478.8
743,5.16308,479.2
744,5.16961,479.6
745,5.17614,480
746,5.18268,480.4
747,5.19003,481.1
748,5.19737,481.8
749,5.20417,482.267
750,5.21098,482.733
751,5.21778,483.2
752,5.22441,483.6
753,5.23105,484
754,5.23768,484.4
755,5.24485,485.1
756,5.25202,485.8
757,5.25882,486.2
758,5.26563,486.6
759,5.27817,488.2
760,5.28383,488.6
761,5.2895,489
762,5.29516,489.4
763,5.3036,489.733
764,5.31204,490.067
765,5.32048,490.4
766,5.32718,490.9
767,5.33387,491.4
768,5.3392,491.8
